Kode UW,Nama Sekuritas,Saham yang pernah dikawal dengan UW tunggal,Saham yang pernah dikawal dengan UW konsorsium
AH, Shinhan Sekuritas Indonesia ,"KETR,SOUL,IRSX,PIPA,MAXI,INET,LMAX,RSCH,AEGS,SURI","DADA,JATI,IOTF,DGWG"
AI, UOB Kay Hian Sekuritas ,"ZATA,ISAP,SUNI,GTRA,RELF,BABY,KOKA,AYAM,ACRO,DATA,SOLA,VERN,KSIX","DADA,BBSI,PADA,RAAM,HGII,NCKL,NICE,CBUT,ARCI"
AK, UBS Sekuritas Indonesia ,,"CMNT,MBMA,CNMA,AVIA"
AN, Wanteg Sekuritas ,,"FIMP,MKTR"
AO, Erdikha Elit Sekuritas ,"SMKM,VAST,GRIA,RGAS","HOMI,PADA,TOSK,SMIL,BHAT,RMKE,ESTA,BESS,CARE,ATAP"
AP, Pacific Sekuritas Indonesia ,,"ESTA,BESS,CARE"
AR, Binaartha Sekuritas ,,"BBSI,DEWI,JARR"
AZ, Sucor Sekuritas ,,"MORA,AWAN,RAAM,RATU,DRMA,HILL,NSSS,MBMA,ADCP,GOTO"
BK, Morgan Sekuritas Indonesia ,,"CNMA,MTEL"
BQ, Korea Investment And Sekuritas Indonesia ,PMUI,"ASHA,UDNG"
CC, Mandiri Sekuritas ,,"MDIY,YUPI,MDLA,FORE,CMNT,CMRY,PGEO,NCKL,AMMN,CNMA,ARCI,AVIA,MTEL,BELI,GOTO,BUKA"
CD, Mega Capital Sekuritas ,,VTNY
CP, KB Valbury Sekuritas ,ISEA,"RAFI,IOTF,PART,MKTR,SMIL,NICE,ASPI,GOLF,WMUU,MTEL,BELI,GOTO,KBAG"
CS, Credit Suisse Sekuritas Indonesia ,,"PGEO,NCKL,ARCI,AVIA,GOTO"
DH, Sinarmas Sekuritas ,,"PMMP,BUKA"
DP, DBS Vickers Sekuritas Indonesia ,,"STAA,AMMN,CDIA,BELI"
DR, RHB Sekuritas Indonesia ,"MPIX,KAQI",HOMI
DX, Bahana Sekuritas ,,BUKA
EP, MNC Sekuritas ,"MSIE,SMLE,MEJA,BAIK,SPRE,NAIK,DKHH","UDNG,TOSK,PART,DRMA,SMIL"
FS, Yuanta Sekuritas Indonesia ,,"HOPE,WINR,BSBK"
FZ, Waterfront Sekuritas Indonesia ,,"NICL,WMUU,KBAG"
